,driverId,hours-logged,miles-logged,name
0,10,3232,147150,George Vetticaden
1,11,3642,179300,Jamie Engesser
2,12,2639,135962,Paul Coddin
3,13,2727,134126,Joe Niemiec
4,14,2781,136624,Adis Cesir
5,15,2734,138750,Rohit Bakshi
6,16,2746,137205,Tom McCuch
7,17,2701,135992,Eric Mizell
8,18,2654,137834,Grant Liu
9,19,2738,137968,Ajay Singh
10,20,2644,134564,Chris Harris
11,21,2751,138719,Jeff Markham
12,22,2733,137550,Nadeem Asghar
13,23,2750,137980,Adam Diaz
14,24,2647,134461,Don Hilborn
15,25,2723,139180,Jean-Philippe Playe
16,26,2730,137530,Michael Aube
17,27,2771,137922,Mark Lochbihler
18,28,2723,137469,Olivier Renault
19,29,2760,138255,Teddy Choi
20,30,2773,137473,Dan Rice
21,31,2704,137057,Rommel Garcia
22,32,2736,137422,Ryan Templeton
23,33,2759,139285,Sridhara Sabbella
24,34,2811,137728,Frank Romano
25,35,2728,138727,Emil Siemes
26,36,2795,138025,Andrew Grande
27,37,2694,137223,Wes Floyd
28,38,2760,137464,Scott Shaw
29,39,2745,138788,David Kaiser
30,40,2700,136931,Nicolas Maillard
31,41,2723,138407,Greg Phillips
32,42,2697,136673,Randy Gelhausen
33,43,2750,136993,Dave Patton
